X,y
"[124, 115.84807, 240.9999, 25.895849317552063, 0.0001404376840177246, 136.2888378137872, 5.342409803163889, 4, 2, 1, 1, 2, 216, 123.333046, 276.14236, 30.61558366409805, 0.0017516834894802935, 123.07077504963063, 1.9221882796590126, 5, 2, 1, 1, 1, 29, 119.24734, 287.1307, 35.10011766144281, 0.012781615200707863, 136.09295317884354, 5.063780933248806, 4, 2, 0, 2, 0]",1
"[216, 123.333046, 276.14236, 17.207723100455905, 0.029361474903633777, 136.2566629319677, 0.8898907849029589, 6, 2, 2, 2, 0, 124, 115.84807, 240.9999, 18.775779537200883, 0.031253596077131796, 149.2082615244729, 4.310112308407835, 5, 2, 0, 2, 1, 29, 119.24734, 287.1307, 27.592514988018433, 0.018331543192406208, 149.26468465237798, 4.031483438492752, 5, 2, 1, 3, 1]",3
"[216, 123.333046, 276.14236, 4.549043465316734, 0.0007573169838297478, 136.3043486194623, 1.2971033146666335, 3, 2, 1, 0, 0, 29, 119.24734, 287.1307, 15.569321295342759, 0.010272614727397822, 149.2449398332772, 4.438695968256427, 2, 2, 0, 1, 1, 124, 115.84807, 240.9999, 34.65699313541135, 0.002649438157327766, 149.21754578846728, 4.7173248381715105, 2, 2, 1, 0, 1]",3
"[29, 119.24734, 287.1307, 16.23049762237997, 0.01129797500492491, 149.18846168450438, 4.877246114241387, 5, 1, 3, 0, 1, 216, 123.333046, 276.14236, 27.89573550429455, 0.0002680432936973398, 136.2491762965749, 1.7356534606515943, 6, 1, 4, 1, 2, 180, 102.96024, 332.82343, 32.4448427734068, 0.005714648440310499, 162.2067618660934, 0.8154773667565403, 3, 0, 3, 0, 0]",3
"[30, 97.5412, 409.2332, 12.956955333390514, 0.03190279963180803, 116.75204331275941, 5.282994195562024, 1, 2, 3, 1, 3, 136, 98.67027, 409.5325, 13.155619635625904, 0.026949140846068753, 116.7773876155861, 2.1414015419722308, 1, 1, 3, 0, 3, 98, 90.16468, 439.98544, 18.91367584320377, 0.025986275867560527, 164.02626332002038, 3.887863952931678, 4, 0, 0, 0, 4]",3
"[141, 169.20264, 118.635284, 15.4139878446561, 0.0024670939603775865, 45.40947916221449, 3.1632356713132, 0, 1, 1, 0, 2, 95, 163.12524, 152.63026, 37.87005310594408, 0.022293885127354418, 77.88712580159043, 3.9059806841429126, 5, 4, 0, 0, 1, 187, 163.79106, 153.6786, 39.04951361214232, 0.007512197221487549, 77.91097781223932, 0.7643880305531194, 5, 3, 0, 1, 1]",3
"[34, 154.65894, 193.26949, 23.607839428640627, 0.0005090413709278319, 161.75975265495362, 4.538595009601536, 3, 1, 3, 0, 1, 226, 114.43127, 174.0308, 23.85440697821595, 0.034146854644725944, 123.3236551051489, 3.2195548999160577, 1, 2, 2, 1, 2, 186, 162.33374, 160.64333, 28.83275863483668, 0.002402138384173136, 123.35199355766251, 3.8264196334545932, 2, 1, 0, 1, 2]",0
"[175, 123.303375, 230.87315, 18.752395057776145, 0.002926918402107903, 116.81852015324147, 2.1294657656278058, 3, 1, 1, 1, 0, 118, 162.24718, 240.77437, 25.99352158838439, 0.0012951917467411422, 123.08642278297555, 0.030914555608128946, 3, 2, 0, 1, 0, 124, 115.84807, 240.9999, 29.788129574352265, 0.002386083266375627, 136.29184371854777, 5.271058419217599, 3, 1, 0, 1, 1]",1
"[118, 162.24718, 240.77437, 14.821865778313462, 0.012551662534472263, 136.19835403364067, 5.289366080217074, 0, 0, 0, 0, 0, 127, 176.86778, 242.34264, 24.805334020856563, 0.010609057749385309, 110.10185292130825, 2.1477734266272805, 2, 0, 0, 1, 1, 37, 186.6773, 230.14722, 29.259336276826033, 0.006163414808725454, 116.76802324157914, 4.413181686211187, 1, 0, 1, 1, 1]",1
"[118, 162.24718, 240.77437, 18.369443440977037, 0.014055311776749069, 149.26820321323638, 1.1874379949885376, 5, 2, 2, 1, 2, 127, 176.86778, 242.34264, 28.312163032876374, 0.012112706991662114, 136.29758602624528, 1.9541546586012557, 7, 2, 2, 0, 3, 216, 123.333046, 276.14236, 35.07880636028266, 0.011072299083616566, 136.21977793909898, 0.6324843451160558, 6, 1, 4, 1, 2]",3
"[29, 119.24734, 287.1307, 23.422526540792674, 0.005629545401631575, 149.2654945133021, 3.516982195301289, 4, 1, 1, 2, 0, 35, 155.51408, 295.42093, 25.211135868579902, 0.00841584883946317, 129.80350445507693, 1.3172713424305502, 5, 0, 2, 1, 2, 128, 158.45425, 296.12213, 27.628980701924114, 0.006839073793027395, 136.3057121813904, 1.8243213111592431, 4, 2, 1, 0, 1]",3
"[147, 151.7286, 374.7519, 15.724441492628218, 0.0022340578791054666, 110.3225882892826, 2.084586588796283, 4, 0, 1, 0, 3, 149, 144.58986, 360.12155, 30.278181934797917, 0.00418608006372706, 116.88501665680194, 1.05700606479351, 3, 1, 2, 1, 3, 235, 159.36385, 421.44427, 33.12700362417359, 0.009088683612751225, 97.35360004247532, 0.502388544877444, 7, 1, 3, 1, 2]",3
"[179, 122.72614, 439.84143, 29.477116672807373, 0.027307856617649007, 111.89368573155816, 2.942036453398095, 1, 2, 2, 2, 3, 235, 159.36385, 421.44427, 46.92293775199257, 0.0090443163181671, 67.18944127244076, 2.4811032580142305, 3, 2, 3, 1, 1, 32, 89.6722, 464.74313, 49.94115358179431, 0.012358553010253792, 156.63628869446794, 4.521442062823919, 4, 2, 0, 5, 1]",3
"[179, 122.72614, 439.84143, 39.019793255607354, 0.024396646236717112, 127.42415887907131, 2.88213267853184, 1, 0, 3, 1, 3, 39, 192.01941, 465.39465, 40.65413798243435, 0.004614425339527661, 127.48304390807935, 0.8928538238075447, 1, 2, 2, 1, 0, 117, 193.95335, 460.994, 42.91054364487979, 0.002546250974435449, 115.81856259539258, 4.0344464773973385, 1, 2, 3, 1, 1]",3
"[36, 206.0833, 169.36061, 25.125851547459398, 0.008347635956486021, 162.1442373031389, 2.831788617452513, 2, 1, 2, 4, 1, 155, 194.29959, 166.2933, 25.707757964559388, 0.029051832579424064, 162.1574751035016, 5.973381271042307, 1, 1, 3, 3, 0, 164, 232.91507, 119.970436, 35.113770763539314, 0.02278906302333439, 116.80222614269424, 1.811871666063691, 5, 0, 3, 1, 3]",3
