X,y
"[339, 249.61694, 141.20207, 2.9423273135834322, 0.0006529638349495048, 408.250626729894, 0.4046159135083318, 1, 1, 0, 2, 0, 85, 258.08847, 150.79419, 12.490277038841366, 0.008897353435634137, 474.18467659420287, 0.6166442736784044, 3, 3, 3, 1, 2, 265, 237.8737, 152.82106, 13.625006545453102, 0.0008221135840441041, 422.27306954823604, 1.8247256508515326, 2, 3, 1, 1, 1]",0
"[369, 152.94063, 159.55309, 3.4441998305872117, 0.001705599138724534, 220.6821023041404, 5.121590015922434, 1, 2, 1, 0, 0, 225, 158.98016, 165.33823, 7.671774866608515, 0.0014688241595043894, 272.8056033255973, 5.7497869004131905, 6, 2, 2, 1, 1, 315, 163.59756, 155.59473, 13.861217463281937, 0.00011519597205250642, 240.2851998169833, 3.8721344883856528, 1, 1, 1, 0, 1]",0
"[321, 352.1699, 160.93593, 2.398159761415811, 0.0018706686770449954, 298.40456623933244, 4.506580972835213, 1, 1, 1, 0, 3, 195, 359.51675, 161.66986, 9.0506365397373, 0.0012376436648193767, 337.6869617302896, 1.3649883192454193, 2, 1, 2, 0, 3, 263, 340.62582, 165.0847, 10.184956976339155, 0.003382378932374419, 350.76113035561156, 1.332025578192384, 1, 2, 2, 1, 4]",0
"[327, 213.03033, 153.5834, 2.5642708158751715, 0.00047360783388378236, 389.304929841606, 6.0097889712142525, 0, 3, 4, 0, 1, 68, 220.361, 153.51196, 8.104584421051177, 0.0008594525154969057, 415.6276915059444, 2.8681963176244594, 2, 0, 3, 1, 2, 226, 197.85951, 160.80254, 15.549888434117499, 0.0011492617070602007, 428.61438495673815, 1.2795706910429743, 0, 3, 0, 2, 1]",0
"[214, 440.2188, 51.194973, 11.690007590840738, 0.0011781322741574174, 421.5858537046843, 0.03634996894593767, 4, 1, 0, 0, 3, 152, 420.96475, 36.47805, 12.554789636584967, 0.0045490526215575255, 422.94693350273275, 1.7955471845449775, 2, 3, 0, 0, 1, 303, 438.57483, 26.152554, 19.84867853528655, 0.002789901052096533, 393.2066724531296, 5.129603414441606, 9, 1, 2, 3, 3]",3
"[263, 340.62582, 165.0847, 2.401424400490402, 0.0005608852448403256, 363.2949384560855, 2.495827387593909, 0, 1, 1, 0, 0, 321, 352.1699, 160.93593, 14.29756796862855, 0.004692162364579089, 376.6847988926322, 3.342779163433687, 2, 2, 0, 1, 1, 236, 333.47693, 153.32225, 14.890237473201546, 0.037670221471118204, 448.13226341090996, 2.4176649428393535, 4, 0, 2, 1, 1]",0
"[125, 343.50677, 114.758224, 2.9214165800263006, 0.0017799767243781295, 356.7214215790243, 0.4021696950394624, 0, 1, 1, 1, 3, 307, 340.5809, 127.40836, 10.52857556173872, 0.0018610725321165367, 454.59756089815863, 2.2519891769583635, 7, 1, 3, 1, 6, 124, 346.13852, 105.54936, 12.266789063738967, 0.004437547772074446, 480.4987835827575, 3.5437623486292558, 3, 2, 3, 0, 2]",0
"[114, 301.96573, 393.66266, 4.84285555135486, 0.013775161105894274, 84.4503172516431, 1.4359169505419018, 3, 0, 2, 1, 0, 115, 305.71628, 379.1845, 19.53563388350875, 0.009330144993170919, 110.44425482633135, 1.7056757030478915, 6, 0, 2, 3, 1, 112, 300.5286, 356.11035, 42.405790920092244, 0.009764304321942141, 143.01613852547175, 2.3813792963714517, 11, 2, 4, 2, 3]",0
"[275, 95.240326, 288.24542, 4.284410588238139, 0.0014098165835355059, 363.44323176382363, 0.10484076342124957, 1, 0, 0, 1, 0, 25, 107.90147, 290.79932, 12.191041623054236, 0.006812425161584812, 389.72152070178686, 1.9126662993795096, 5, 0, 3, 1, 1, 230, 85.31805, 285.96832, 12.368722611259296, 0.00515412567558704, 363.76542821732033, 1.0436059841144707, 4, 0, 2, 2, 0]",0
"[212, 83.6833, 250.83063, 4.47635911588655, 0.001481275571491636, 259.62316333618935, 0.2664933178008746, 1, 1, 1, 0, 1, 276, 81.434616, 261.28378, 6.233222838865356, 0.0012906062667263907, 292.27038318299793, 3.408085971390668, 0, 1, 0, 0, 1, 237, 74.53946, 270.79095, 17.542221070769376, 0.01078319857537946, 285.89339108571636, 0.21940960571599777, 0, 0, 2, 0, 2]",0
"[120, 346.27393, 76.88326, 2.4003151968286023, 0.0001706585587011311, 350.37330625944753, 0.03755376328269033, 4, 1, 2, 0, 1, 121, 340.9513, 72.68253, 6.992816519697758, 0.00555267385901792, 480.57450210965175, 3.1791464168724834, 3, 2, 1, 1, 3, 123, 350.8782, 81.98737, 7.0943635945664125, 0.026628484052055756, 480.49803304169455, 0.13115020679266587, 2, 3, 0, 0, 1]",0
"[280, 111.45342, 244.13197, 4.192778823307771, 0.0031081942944937713, 389.658690313516, 3.4141959462888902, 5, 0, 0, 0, 5, 19, 108.587036, 236.82945, 5.134400747202023, 2.8887030463053964e-05, 305.04377531881, 0.27260329269909667, 1, 0, 1, 0, 0, 24, 110.65387, 255.863, 14.216736442722045, 0.002414898771060159, 409.1529588608705, 3.8562894068220714, 4, 3, 3, 1, 3]",1
"[278, 359.3739, 105.21304, 2.5910105495224887, 0.0004122313246005538, 395.68241850476824, 0.014710396441262041, 1, 1, 0, 2, 0, 228, 365.92932, 107.35072, 8.268055516302098, 0.0016052968444086324, 480.54139206779337, 1.5217503178922736, 2, 2, 2, 1, 1, 250, 364.14676, 113.529175, 9.088924241832174, 0.003281379573880139, 474.0866573375188, 4.6633429714820664, 1, 2, 1, 0, 0]",0
"[289, 289.01904, 134.51395, 3.866747879799243, 0.0016609414377584675, 479.58724975544635, 1.4241687191688892, 3, 1, 1, 1, 2, 288, 288.78574, 148.30002, 10.164192567269083, 0.002702433529816528, 506.6374161252829, 0.07014665612941218, 4, 0, 0, 2, 6, 86, 275.88947, 135.56305, 12.195956865202204, 0.003946137690099216, 519.6631891937649, 0.01871203086938733, 3, 1, 0, 0, 4]",0
"[316, 383.50745, 247.8247, 4.010897313780619, 0.00015219079470674135, 409.0804707040142, 1.657932139060776, 5, 2, 2, 5, 4, 146, 388.65256, 254.28368, 6.093507133073993, 0.0020339117414966412, 435.22461646075175, 1.0923746005117279, 5, 1, 2, 2, 4, 148, 389.33276, 260.6107, 10.791943664172447, 0.003387988185827473, 415.7297653788117, 2.0492180530780653, 6, 4, 3, 1, 6]",0
"[293, 249.93474, 219.94153, 3.7543929341335525, 0.002625169363228208, 337.5067114565529, 0.19465798170596393, 5, 1, 1, 3, 0, 88, 256.7681, 213.62842, 12.473445107741009, 0.009507717244600866, 389.72506579461935, 0.6149246397853738, 3, 1, 1, 1, 0, 244, 256.90594, 204.65941, 20.44103219104574, 0.00013632443001110328, 383.1698299641878, 3.7565172933751674, 1, 3, 0, 2, 0]",0
"[80, 267.09274, 77.21789, 4.052525820486243, 0.00315797029828635, 265.3198478999748, 0.13250122240479612, 1, 1, 0, 0, 0, 220, 256.32712, 86.44381, 10.889886358920736, 0.0021109301803136082, 292.4846931288573, 3.009091431184997, 3, 3, 0, 1, 1, 216, 282.6385, 93.31178, 20.834389078980006, 0.00022002540093679634, 351.06135769138234, 0.12343201072767673, 10, 4, 1, 3, 2]",0
"[66, 232.7832, 117.12924, 2.9488612406418655, 0.0013505944712032814, 323.7713647283063, 5.553140020195336, 2, 1, 1, 1, 1, 281, 241.46794, 113.96942, 11.739253729576165, 0.001977346437772143, 350.49427251881826, 2.411547366605543, 6, 2, 1, 3, 2, 67, 216.2798, 121.09988, 14.959823063418886, 0.004060632945062259, 324.7628350387074, 5.665979949236079, 2, 0, 2, 1, 1]",0
"[1, 10.2564535, 158.14929, 4.181024556777188, 0.05142987912524438, 100.43335218497869, 3.9787840762172495, 3, 2, 1, 0, 0, 300, 32.58352, 122.19621, 46.46657684356473, 0.028262579415845313, 101.81485610858753, 2.4865993299309714, 3, 2, 3, 1, 1, 0, 20.52329, 113.322624, 50.09736607534412, 0.04093466452508532, 101.80535153144662, 0.6549933236588219, 3, 1, 3, 0, 1]",0
"[13, 73.8254, 275.08435, 2.327830941915787, 0.008413860661901196, 305.22790927158695, 3.0341860989088953, 1, 3, 2, 0, 2, 237, 74.53946, 270.79095, 4.438696671271035, 0.0030710165751408613, 279.1673557483635, 0.10740655468089777, 1, 3, 3, 0, 1, 12, 83.5081, 276.8887, 7.616828472318175, 0.003565942772844999, 318.14795763802056, 0.46897565283800313, 1, 0, 2, 2, 1]",1
"[338, 263.2897, 160.06198, 2.026928554127949, 0.01470209476311407, 512.55329884211, 0.06113339615626884, 0, 1, 1, 0, 0, 194, 253.26733, 162.79025, 11.318985353337185, 0.005264705571316364, 493.6128876380982, 1.2969532056689472, 2, 0, 1, 2, 1, 85, 258.08847, 150.79419, 12.636052119412527, 0.010367889686823228, 493.62508134906096, 1.7552982936760253, 0, 1, 3, 3, 1]",0
"[57, 164.91382, 266.26767, 5.177418022193614, 0.00471205749759962, 382.92309513531126, 1.2031089941287667, 1, 1, 2, 1, 1, 38, 156.82701, 270.0037, 5.699326472611696, 0.009264154975455241, 402.65291823183327, 1.9384836594610264, 3, 0, 3, 0, 0, 209, 158.97339, 282.18253, 11.877712176138758, 0.009855467691957831, 363.7344388966611, 0.6260201967284628, 2, 3, 1, 3, 3]",0
"[216, 282.6385, 93.31178, 3.390715504737063, 0.004043239817238364, 336.85760730062236, 0.0900979679102919, 0, 0, 1, 2, 1, 81, 273.00284, 101.41894, 9.27871218748348, 0.002578118809287544, 402.71998158277665, 3.231690621500085, 2, 2, 2, 1, 1, 98, 292.35306, 106.41977, 15.840467821598192, 0.0025165559862997955, 435.4730087413354, 0.002054342897858885, 2, 2, 1, 0, 3]",0
"[256, 289.28525, 190.5724, 7.0527799296380245, 0.008638425930114824, 396.1994651184484, 0.26785579960131845, 9, 3, 3, 1, 2, 219, 290.69412, 199.56998, 14.26922957715525, 0.003229237754242942, 376.6975801021436, 3.4094484531911116, 10, 4, 2, 3, 1, 334, 285.76068, 173.4342, 14.49126265964247, 0.0009380968663265654, 441.4910248735252, 0.9111923667798758, 3, 0, 1, 0, 2]",3
"[167, 410.7473, 262.215, 3.783130505844137, 0.0031009880951843316, 344.171817164123, 0.15430546998090933, 2, 1, 2, 3, 0, 260, 405.21365, 254.41422, 11.257476642216247, 0.020171450547042336, 350.80333461897584, 0.743767466485538, 5, 4, 1, 2, 2, 218, 398.78793, 251.96362, 16.37697075588094, 0.014458052407491817, 357.2941161285742, 3.8853601200753314, 4, 5, 1, 4, 4]",0
"[22, 115.97638, 271.33902, 5.378866356575857, 0.008629985332031576, 395.98531195169954, 0.07021236519243446, 3, 0, 1, 2, 4, 23, 108.43152, 275.71506, 7.234447887890385, 0.0019797147465560605, 422.15334155705625, 1.5593732190134035, 2, 3, 4, 4, 1, 274, 113.29702, 284.021, 7.66972286521718, 0.06818556948219329, 422.152948968092, 0.4431249690403316, 2, 3, 3, 1, 1]",0
"[334, 285.76068, 173.4342, 4.608257306191816, 0.009333808906209107, 447.83584671997625, 4.8596856149714736, 4, 1, 1, 2, 0, 100, 295.84796, 175.86455, 14.684732535817961, 0.00812094417547754, 448.07151680938125, 1.7180929613816809, 6, 5, 0, 1, 0, 200, 287.19254, 159.85297, 15.662113724926897, 0.0005098478160699971, 486.9873918362664, 0.2466823079719247, 1, 0, 1, 2, 2]",3
"[382, 120.556404, 69.86389, 1.5927710152509094, 0.010988922789683497, 45.46077866037865, 3.371815974945281, 2, 0, 1, 0, 1, 277, 123.10625, 63.893906, 4.906205649827033, 0.0004918949644759918, 45.45977320311752, 0.23022332135548806, 2, 0, 0, 0, 2, 215, 118.57966, 85.57713, 17.402262536784495, 0.0104245386955098, 45.4778441917006, 3.0933030456111807, 3, 0, 2, 1, 0]",0
"[131, 352.656, 274.18564, 4.3663919361637165, 0.0025641656959208836, 350.6563032049704, 0.4841024550078039, 0, 1, 1, 1, 1, 233, 339.81024, 286.73093, 14.851143507268269, 0.0001433168455493572, 396.3992536254655, 1.7398176158923593, 2, 3, 3, 2, 4, 130, 354.3913, 262.3375, 16.338573394829226, 0.0009529217870408169, 363.87236920426136, 2.657490198581989, 3, 0, 1, 2, 0]",0
"[304, 246.20325, 250.44542, 12.930001452913281, 0.04279211202534561, 311.7404226287905, 1.3472593880787167, 7, 2, 0, 5, 4, 293, 249.93474, 219.94153, 20.10953933158616, 0.0372178569873402, 350.7306479256837, 1.0753496064637718, 1, 3, 1, 3, 0, 72, 235.52315, 250.73238, 21.032776214833316, 0.0334118445759789, 324.7680745823101, 1.7943332655110766, 4, 2, 0, 1, 5]",3
"[337, 220.5436, 201.89899, 4.582477004418361, 0.0005430881221022976, 532.1659870843926, 2.128057072505362, 5, 1, 1, 4, 3, 335, 226.58972, 202.90488, 4.837760953008548, 0.010195515083113393, 519.2073926384554, 1.0135355810844313, 6, 0, 0, 2, 4, 69, 222.4474, 190.28192, 15.616722365149188, 0.008900106512101102, 525.9920350501576, 0.5596836322273846, 3, 1, 1, 1, 4]",1
"[330, 173.89001, 220.54018, 4.911730672304344, 0.0016037843023091192, 480.17899572590284, 0.08143154602836633, 6, 1, 4, 0, 1, 52, 182.7292, 223.82439, 9.574135958681012, 0.0017331911247585596, 506.63236662147455, 3.22302419961816, 3, 1, 2, 2, 2, 54, 178.10655, 233.86162, 9.724440524493199, 0.006615261094579772, 526.0204702611376, 0.017091180301220366, 1, 2, 2, 2, 1]",0
"[259, 318.81958, 174.69833, 4.314277517157459, 0.006918926020452354, 402.3835902989952, 2.4437042049258273, 2, 1, 2, 0, 1, 261, 318.67084, 187.60712, 8.677574653594249, 0.001095866243063015, 389.6906036280633, 0.697888448663966, 7, 1, 5, 0, 3, 101, 303.21594, 164.77695, 20.540544085633297, 0.007072920134381877, 480.57058311862767, 0.2518439247002885, 1, 0, 4, 5, 2]",0
"[349, 377.608, 93.19111, 2.5307803095463726, 0.0002512012591737167, 408.6317809995026, 3.3608606359362057, 1, 2, 1, 1, 1, 140, 377.5864, 100.904076, 6.546161791581689, 0.0059276899645020475, 448.0805022820259, 0.21926798234641232, 0, 2, 1, 2, 1, 228, 365.92932, 107.35072, 15.916539898849907, 0.00046679062640203606, 473.9934216023175, 3.0827769098092364, 1, 1, 1, 1, 0]",0
"[139, 375.3524, 114.65378, 3.7301980357281854, 0.010073739652538327, 395.6526056545304, 0.09136256382551153, 1, 0, 2, 3, 2, 250, 364.14676, 113.529175, 10.077419717316268, 0.010024328333051225, 454.6082112845313, 1.6602931463444977, 5, 1, 2, 2, 4, 228, 365.92932, 107.35072, 12.752267182205435, 0.011700411062522731, 461.0907462154473, 1.4812995072452957, 4, 1, 3, 3, 3]",0
"[295, 302.75107, 132.55952, 7.049365278057961, 0.006410148374959901, 532.4751990922939, 0.6352608646678279, 3, 3, 2, 2, 2, 289, 289.01904, 134.51395, 9.75948836430124, 0.004886887177214971, 493.521986798284, 2.10521502619121, 2, 3, 2, 2, 1, 99, 302.55402, 141.89365, 14.375692655789097, 0.00035893289272270756, 539.162200935086, 3.776853518257621, 3, 3, 5, 2, 1]",3
"[261, 318.67084, 187.60712, 3.238472241268573, 0.000305746397450235, 331.0496829839062, 0.004789108338307813, 3, 1, 1, 0, 1, 373, 307.32565, 198.83064, 13.30130557025987, 0.001027095228106678, 363.7091295787117, 0.7744774929073219, 8, 2, 3, 1, 2, 259, 318.81958, 174.69833, 16.07886294516721, 0.005517313379939104, 409.16058789562464, 3.146381761928101, 2, 1, 2, 0, 1]",0
"[292, 176.69255, 168.8702, 3.6795984708755793, 0.010911918565410739, 363.4450725625467, 2.7539209058180845, 0, 1, 1, 2, 0, 223, 167.06255, 166.44171, 10.760806902857789, 0.002740140764007748, 370.2367823162476, 0.4053124207262403, 2, 1, 2, 1, 2, 247, 182.91072, 164.07115, 10.901568159556088, 0.016791509060077536, 396.1823356178304, 2.4576359206882143, 0, 1, 1, 0, 2]",0
"[348, 504.34067, 51.803417, 2.5820934683839076, 0.00010649229057768661, 291.0579850723466, 0.11090844913020137, 4, 1, 1, 1, 1, 266, 498.7948, 46.977062, 6.997412604659813, 0.0006681642964131984, 360.89634687562733, 3.252501102719995, 3, 1, 1, 2, 1, 333, 492.62415, 41.570004, 14.964401227940087, 3.310534974321211e-06, 392.5905609892254, 3.2491013792233816, 0, 2, 0, 3, 1]",0
"[340, 401.66626, 105.17588, 3.76726084226499, 0.0009494470913105069, 337.3523401543847, 0.10864604506233766, 3, 1, 1, 2, 1, 138, 392.4966, 106.69509, 5.770924896972191, 0.0036925873538212195, 383.1944833187928, 3.250238698652131, 0, 0, 2, 2, 0, 156, 404.40338, 93.03776, 15.067593373373828, 0.0035558530295875523, 357.22729902236847, 1.4837099652355183, 0, 1, 5, 1, 3]",0
"[344, 80.471596, 104.507256, 2.6398236958101173, 9.750865439062117e-05, 64.89031794916878, 1.0681513367708904, 3, 1, 1, 1, 2, 324, 101.44855, 83.52625, 32.089885424345205, 0.003504063087846787, 71.48274182673214, 4.310389595252053, 1, 0, 1, 1, 1, 215, 118.57966, 85.57713, 44.515744763878956, 0.004212734405509122, 71.4826829614351, 0.4079935779152237, 1, 1, 1, 0, 1]",0
"[313, 172.27565, 184.86775, 4.541430759861096, 0.010258597904647893, 428.3467573601829, 1.9774142675468807, 2, 1, 2, 0, 1, 29, 165.3452, 195.43929, 8.907220351603668, 0.001907890922144273, 461.143849277049, 1.2784655505276166, 0, 1, 3, 0, 2, 186, 165.93898, 200.4197, 12.528403652432322, 0.002251704703689794, 480.64285881130735, 4.42005820411741, 0, 1, 2, 1, 2]",0
"[149, 367.94217, 259.55704, 2.98325071890032, 0.0023941272124056723, 357.13646070908436, 0.16767710784948608, 5, 1, 0, 4, 2, 372, 370.55695, 256.5307, 6.6388983020119, 2.0306102165246198e-05, 396.17927394910646, 3.309269761439279, 6, 1, 1, 4, 2, 130, 354.3913, 262.3375, 13.327802403215545, 0.00024262572702127283, 370.2861451814751, 3.876412725145598, 7, 2, 1, 4, 0]",0
"[300, 32.58352, 122.19621, 4.671043051404961, 0.002254062666910417, 97.12951740132587, 0.06010863552875634, 4, 1, 1, 0, 2, 0, 20.52329, 113.322624, 16.80848883939258, 0.014926147776150422, 83.92047723137279, 3.2017012891185495, 4, 0, 1, 1, 2, 1, 10.2564535, 158.14929, 37.74058390284415, 0.025421362376309486, 87.44599970593067, 1.4320761107575222, 4, 1, 1, 1, 3]",0
"[258, 304.90692, 92.46448, 3.1838735232623696, 0.0008828800768722611, 460.290134670303, 0.2390543429883354, 4, 1, 2, 1, 0, 98, 292.35306, 106.41977, 15.684038857253366, 0.0001460523052023155, 487.0720717559623, 2.105205820139597, 8, 2, 5, 0, 1, 284, 320.11935, 100.45836, 17.549396348870246, 0.006752147773354755, 519.4625158035427, 1.3502868785232558, 1, 1, 1, 1, 0]",0
"[37, 134.22614, 254.31136, 1.7040058929592026, 0.026394253358015485, 428.4985141961228, 0.9953431121280347, 1, 1, 0, 1, 1, 268, 134.9713, 250.30014, 5.6814795045580455, 0.0020398504474239965, 408.98400338307283, 0.16452396145955295, 3, 0, 2, 1, 0, 179, 132.18488, 248.41583, 7.9357913487435345, 0.006788674551331142, 448.0409938701153, 3.306116615049346, 3, 3, 0, 0, 0]",1
"[175, 495.74066, 19.570673, 2.266561937148373, 0.0002679168403647014, 435.3041206343424, 0.04141687188754506, 3, 2, 1, 0, 0, 328, 488.22534, 10.347468, 10.83489612821869, 0.003259362091986018, 486.38706117867434, 3.100175781702248, 3, 1, 2, 2, 0, 174, 507.13306, 12.086286, 15.683895487957614, 0.023126915635724332, 476.2853105803798, 1.4269174713597037, 7, 4, 2, 1, 0]",0
"[276, 81.434616, 261.28378, 4.774328245401953, 0.0015057120046563788, 292.1539514233372, 4.459943548433316, 1, 3, 0, 2, 2, 237, 74.53946, 270.79095, 9.859885289079747, 0.010568092837449472, 298.85418193474203, 1.2712671827586457, 1, 2, 2, 2, 3, 12, 83.5081, 276.8887, 11.116158589899866, 0.003931133489463612, 324.7205813675211, 0.9096980846015403, 1, 1, 3, 0, 3]",0
"[235, 398.37488, 151.50572, 5.830926240900803, 0.03557096930164705, 259.6723056992078, 0.046098283747892245, 1, 1, 1, 1, 0, 141, 372.32108, 150.22447, 22.84437120510961, 0.01274851466787541, 292.2789528393819, 0.8246533720185192, 8, 1, 1, 5, 3, 158, 424.71558, 150.23283, 30.763212036873153, 0.0015936094241711385, 214.29663970079534, 0.14352222857692015, 4, 1, 3, 2, 0]",0
"[0, 19.844267, 115.15159, 1.870768024214973, 0.0015564415769268036, 65.59569285448285, 0.020899586581194285, 1, 0, 0, 0, 1, 282, 31.318975, 124.30882, 14.014310084974793, 0.01257992834961158, 85.21148566350882, 3.120693067008599, 0, 2, 1, 1, 0, 1, 23.682095, 137.93619, 21.40763414477181, 0.008795328330039986, 85.13718862887666, 4.528745631107688, 1, 2, 1, 1, 1]",0
"[1, 23.682095, 137.93619, 1.6831277773318123, 0.0011520704334301857, 97.62699186674375, 0.013272975184733582, 4, 0, 2, 0, 2, 282, 31.318975, 124.30882, 17.228520221311207, 0.004936670453001779, 116.09366193826642, 1.4213255392838227, 3, 0, 2, 0, 1, 362, 10.412505, 160.40147, 24.511208148880804, 0.003539335807131838, 119.59456442739963, 0.00945993886321883, 3, 1, 0, 1, 3]",0
"[362, 10.412505, 160.40147, 18.13600167732977, 0.006409342453643219, 108.88344570039914, 1.1740315884282277, 1, 1, 2, 2, 0, 390, 20.13116, 206.4568, 29.758899864206676, 0.013339439410528564, 86.0610797342623, 0.43252984535682837, 1, 1, 1, 1, 0, 1, 23.682095, 137.93619, 39.19985973298754, 0.0017179362130811948, 86.29892132094534, 1.1512986743802753, 0, 0, 0, 1, 1]",3
"[386, 16.74213, 264.4849, 2.7632018433334458, 0.0018333696180087289, 271.63612978244305, 2.9493387011992707, 1, 0, 0, 0, 1, 2, 8.6298485, 266.7191, 6.068180547394039, 0.0010204946708804452, 300.1417339281996, 0.19225395239052245, 2, 1, 1, 0, 2, 262, 23.621786, 288.93396, 24.3059188614033, 0.0035911194866689033, 335.7012867575024, 4.885388292488292, 4, 2, 1, 2, 1]",3
"[2, 8.6298485, 266.7191, 7.255707768687539, 0.013108222479469245, 328.0620872220177, 0.12548593709043532, 0, 2, 1, 0, 3, 386, 16.74213, 264.4849, 15.663174370165363, 0.012295347532340961, 315.6087273329753, 3.2670785906802284, 1, 3, 0, 0, 4, 262, 23.621786, 288.93396, 30.276698478216012, 0.010537597663680787, 395.8076335563632, 5.20312818196925, 6, 1, 1, 2, 6]",0
"[386, 16.74213, 264.4849, 1.5376673431298922, 0.013363102566384621, 254.21789577801232, 0.19225395239052234, 0, 0, 1, 0, 1, 2, 8.6298485, 266.7191, 9.890484220042492, 0.012550227619256338, 289.42541126951585, 3.3338466059803156, 1, 1, 0, 0, 2, 262, 23.621786, 288.93396, 24.966671775677813, 0.015120852435044796, 306.2738901564855, 1.7437956388984994, 5, 2, 0, 2, 1]",3
"[4, 26.51235, 311.7285, 2.386337897429601, 0.0008859015363549272, 383.9974580573867, 0.04245256679557874, 1, 2, 1, 0, 0, 260, 16.964226, 321.90955, 11.582022840028456, 0.015243752503328156, 432.86456860264065, 1.1931318427604967, 0, 2, 3, 2, 3, 3, 7.41549, 313.83496, 17.329105285353396, 0.0018304938038765095, 476.155189753031, 1.82539726965532, 1, 3, 4, 4, 4]",3
"[3, 7.41549, 313.83496, 1.4556740641942607, 0.00013706719505818254, 484.5691244841836, 0.27789438028242985, 1, 1, 1, 1, 0, 6, 3.607109, 307.18988, 8.047312322565826, 0.0003990236681796211, 502.3421768475122, 0.6111637255507454, 2, 6, 1, 3, 2, 260, 16.964226, 321.90955, 12.830440367519818, 0.01355032589450983, 440.2351808118165, 3.2964234926982465, 2, 0, 0, 1, 1]",0
"[5, 14.631002, 295.99, 2.4977348063239804, 0.0018409464054198743, 395.55082059104524, 0.11276236189099359, 1, 2, 1, 0, 0, 8, 6.1648345, 300.56885, 7.337535066163336, 0.0009206799304619095, 427.0515629330698, 0.8191306647131489, 1, 2, 2, 1, 2, 6, 3.607109, 307.18988, 13.222688896094175, 0.002305444503886367, 479.219577566513, 2.3224619888766442, 3, 6, 3, 1, 5]",0
"[7, 29.174187, 296.4856, 2.4877121437844103, 0.000992018500137637, 369.05727057962997, 0.03718762006195342, 1, 2, 0, 1, 0, 262, 23.621786, 288.93396, 10.285332297757325, 0.010680991748640067, 347.3660849997322, 3.10440503352784, 2, 2, 0, 3, 1, 5, 14.631002, 295.99, 13.199515917012237, 0.0039014173035743505, 383.3909042647718, 1.3953942310031648, 1, 4, 1, 4, 2]",0
"[6, 3.607109, 307.18988, 0.9325946534967667, 0.0005985962577079729, 487.70120754937415, 0.29348823626265896, 1, 4, 0, 1, 2, 3, 7.41549, 313.83496, 7.000606404519301, 0.0008605527308294114, 492.5013993177213, 0.5955698695705163, 0, 1, 0, 1, 0, 8, 6.1648345, 300.56885, 7.102214085876729, 0.0019833608311324302, 456.987206804713, 2.848104417327134, 1, 0, 1, 1, 1]",0
"[8, 6.1648345, 300.56885, 1.3026011211128299, 0.0017677993975577233, 454.4993643722213, 0.2934882362626592, 0, 1, 0, 1, 0, 6, 3.607109, 307.18988, 6.241199174971431, 0.0031525639709821807, 489.7051929174911, 3.4350808898524523, 2, 5, 1, 1, 3, 5, 14.631002, 295.99, 10.924418390081161, 0.0009938269383240605, 443.3695919982575, 0.9998565390848144, 0, 1, 3, 0, 2]",0
"[9, 33.1268, 345.76486, 2.1478249231725624, 0.00020279297781256034, 327.5294125632328, 0.19300171982484127, 4, 2, 2, 0, 0, 332, 42.102608, 355.04587, 13.835083996083528, 0.002754717866549572, 304.37061533398236, 1.273714960165061, 1, 0, 1, 0, 0, 14, 36.065582, 362.24194, 16.39976757072212, 0.009133563297359037, 288.0565676701428, 4.415307613754854, 1, 0, 3, 1, 1]",0
"[11, 4.6008096, 343.10645, 2.0573645004586614, 0.003650854130618608, 402.6571172621051, 0.13654868946212617, 3, 1, 0, 2, 0, 10, 3.909878, 336.0503, 8.89954207044902, 0.00597073355644262, 403.71899100010444, 3.2781413430519195, 4, 2, 1, 1, 0, 13, 12.990779, 350.39706, 10.787514912777876, 0.0002614751875587573, 379.06458024675624, 0.8943334401772077, 2, 0, 2, 4, 0]",0
"[13, 12.990779, 350.39706, 1.5689332218857384, 0.002386686247727976, 318.5833253376522, 0.15396312625704323, 3, 2, 2, 1, 0, 11, 4.6008096, 343.10645, 9.671791120096719, 0.005776065190787827, 371.447696089093, 0.9117478769721248, 4, 3, 4, 3, 0, 10, 3.909878, 336.0503, 15.774713234570564, 0.008095944616611839, 404.49213023927115, 2.2298447766176688, 5, 4, 5, 4, 0]",0
"[10, 3.909878, 336.0503, 0.2377917972467027, 0.0005981791584199203, 451.77156504443866, 0.13654868946212617, 2, 2, 0, 1, 1, 11, 4.6008096, 343.10645, 6.869866093553146, 0.0017217002674040915, 396.05572968903056, 3.005043964127667, 1, 1, 1, 2, 1, 13, 12.990779, 350.39706, 16.742243763442914, 0.005111079210463942, 396.5583674933694, 2.2472592134125855, 0, 0, 3, 4, 1]",0
"[15, 31.879354, 418.49692, 2.3633205693423225, 0.00020013833623783173, 49.33132827429338, 0.005963120183278381, 0, 0, 0, 0, 0, 291, 58.804176, 403.4458, 33.09225608111346, 0.005835481148756039, 106.91114859954784, 0.06700750570055547, 7, 1, 4, 1, 1, 21, 77.54231, 394.6983, 53.755740466725, 0.002536192502291701, 123.36414352922598, 0.13683624853738463, 6, 1, 1, 3, 1]",0
